"file","dv","iv","beta","se","z","pval"
"8003_rsajoystick","V3","V3lag",0.9726,0.0023,418.4537,0
"8003_rsajoystick","V5","V5lag",0.9509,0.0041,233.8555,0
"8003_rsajoystick","V6","V6lag",0.9961,3e-04,3800.4965,0
"8003_rsajoystick","V4","V4lag",0.9909,6e-04,1538.6499,0
"8004_rsajoystick","V3","V3lag",0.9737,0.0022,448.7574,0
"8004_rsajoystick","V5","V5lag",0.9851,0.0012,811.2616,0
"8004_rsajoystick","V6","V6lag",0.9661,0.0028,343.0457,0
"8004_rsajoystick","V4","V4lag",0.9783,0.0018,547.9178,0
"8004_rsajoystick","V2","V2lag",0.9911,7e-04,1334.7806,0
"8004_rsajoystick","V1","V1lag",0.9896,9e-04,1140.5009,0
"8005_rsajoystick","V3","V3lag",0.985,0.0013,786.144,0
"8005_rsajoystick","V5","V5lag",0.9623,0.003,321.4038,0
"8005_rsajoystick","V6","V6lag",0.964,0.0029,334.6142,0
"8005_rsajoystick","V4","V4lag",0.955,0.0037,257.239,0
"8005_rsajoystick","V2","V2lag",0.9944,5e-04,2094.6532,0
"8005_rsajoystick","V1","V1lag",0.9914,7e-04,1376.1296,0
"8006_rsajoystick","V3","V3lag",0.9932,6e-04,1691.9641,0
"8006_rsajoystick","V5","V5lag",0.9925,6e-04,1530.8581,0
"8006_rsajoystick","V6","V6lag",0.9755,0.002,478.4806,0
"8006_rsajoystick","V4","V4lag",0.9769,0.0019,526.8392,0
"8006_rsajoystick","V1","V1lag",0.994,5e-04,1992.9422,0
"8006_rsajoystick","V2","V2lag",0.9935,5e-04,1845.3359,0
"8007_rsajoystick","V3","V3lag",0.9874,0.001,1017.9419,0
"8007_rsajoystick","V5","V5lag",0.9661,0.0027,359.3861,0
"8007_rsajoystick","V6","V6lag",0.9629,0.0025,380.4473,0
"8007_rsajoystick","V4","V4lag",0.9536,0.003,315.3885,0
"8007_rsajoystick","V2","V2lag",0.004,0.0408,0.0982,0.9218
"8007_rsajoystick","V1","V1lag",0.0021,0.0411,0.0506,0.9596
"8007_rsajoystick","V2","V6lag",0,0.0283,-0.0015,0.9988
"8008_rsajoystick","V3","V3lag",0.9838,0.0014,697.4837,0
"8008_rsajoystick","V5","V5lag",0.9918,6e-04,1682.9943,0
"8008_rsajoystick","V6","V6lag",0.992,6e-04,1715.1148,0
"8008_rsajoystick","V4","V4lag",0.985,0.0014,691.0441,0
"8008_rsajoystick","V2","V2lag",0.9937,5e-04,1836.6162,0
"8010_rsajoystick","V3","V3lag",0.9911,8e-04,1315.6776,0
"8010_rsajoystick","V5","V5lag",0.9884,0.001,1032.4824,0
"8010_rsajoystick","V6","V6lag",0.9848,0.0012,822.9926,0
"8010_rsajoystick","V4","V4lag",0.9755,0.002,496.2159,0
"8010_rsajoystick","V1","V1lag",0.9913,7e-04,1392.5329,0
"8010_rsajoystick","V2","V2lag",0.9908,8e-04,1310.3915,0
"8011_rsajoystick","V3","V3lag",0.9916,6e-04,1671.584,0
"8011_rsajoystick","V5","V5lag",0.9807,0.0013,742.9922,0
"8011_rsajoystick","V6","V6lag",0.9758,0.0019,513.142,0
"8011_rsajoystick","V4","V4lag",0.9712,0.0023,424.8568,0
"8011_rsajoystick","V2","V4",0.2527,0.0356,7.0977,0
"8011_rsajoystick","V1","V1lag",0.0137,0.041,0.3355,0.7373
"8013_rsajoystick","V3","V3lag",0.9828,0.0014,683.9607,0
"8013_rsajoystick","V5","V5lag",0.9877,0.0011,925.9625,0
"8013_rsajoystick","V6","V6lag",0.9493,0.0039,240.9996,0
"8013_rsajoystick","V4","V4lag",0.9351,0.0052,180.4286,0
"8013_rsajoystick","V1","V1lag",0.9933,6e-04,1746.2863,0
"8013_rsajoystick","V2","V2lag",0.9922,7e-04,1522.4778,0
"8014_rsajoystick","V3","V3lag",0.9876,0.001,956.7936,0
"8014_rsajoystick","V5","V5lag",0.9908,8e-04,1259.6736,0
"8014_rsajoystick","V6","V6lag",0.9747,0.0014,678.5191,0
"8014_rsajoystick","V4","V4lag",0.9856,8e-04,1260.8469,0
"8014_rsajoystick","V2","V2lag",0.9911,7e-04,1357.1108,0
"8014_rsajoystick","V1","V1lag",0.9929,6e-04,1649.0342,0
"8015_rsajoystick","V3","V3lag",0.9906,8e-04,1248.6273,0
"8015_rsajoystick","V5","V5lag",0.9758,0.0022,440.8744,0
"8015_rsajoystick","V6","V6lag",0.9923,5e-04,1911.9206,0
"8015_rsajoystick","V4","V4lag",0.9632,0.0052,185.526,0
"8015_rsajoystick","V1","V6lag",-0.2773,0.0286,-9.7031,0
"8015_rsajoystick","V2","V6",-0.1618,0.0301,-5.3771,0
"8015_rsajoystick","V5","V4lag",-0.0235,0.0063,-3.7195,2e-04
"8015_rsajoystick","V4","V6",-0.0501,0.0098,-5.1117,0
"8016_rsajoystick","V3","V3lag",0.9722,0.0037,264.9243,0
"8016_rsajoystick","V5","V5lag",0.9841,0.0016,628.7241,0
"8016_rsajoystick","V6","V6lag",0.9783,0.0027,363.8248,0
"8016_rsajoystick","V4","V4lag",0.9701,0.0032,302.4612,0
"8016_rsajoystick","V1","V1lag",0.9905,8e-04,1231.4771,0
"8017_rsajoystick","V3","V3lag",0.9931,8e-04,1234.948,0
"8017_rsajoystick","V5","V5lag",0.9813,0.0017,563.9444,0
"8017_rsajoystick","V6","V6lag",0.9518,0.004,235.4361,0
"8017_rsajoystick","V4","V4lag",0.985,0.0012,853.1541,0
"8019_rsajoystick","V3","V3lag",0.985,0.0013,778.1079,0
"8019_rsajoystick","V5","V5lag",0.9836,0.001,949.1326,0
"8019_rsajoystick","V6","V6lag",0.9759,0.0014,677.3658,0
"8019_rsajoystick","V4","V4lag",0.9628,0.0025,380.8351,0
"8019_rsajoystick","V1","V5lag",-0.0012,0.0398,-0.0294,0.9766
"8019_rsajoystick","V2","V2lag",0.9912,7e-04,1387.1881,0
"8019_rsajoystick","V3","V6lag",-0.0157,0.0056,-2.7859,0.0053
"8020_rsajoystick","V3","V3lag",0.9868,0.0011,900.8092,0
"8020_rsajoystick","V5","V5lag",0.9763,0.002,482.9004,0
"8020_rsajoystick","V6","V6lag",0.9815,0.0016,629.0316,0
"8020_rsajoystick","V4","V4lag",0.9823,0.0015,666.9746,0
