"file","chisq","df","pval","rmsea","srmr","nnfi","cfi","status"
"8003_rsajoystick","5492.7514","46","0","0.4578","0.2379","0.6293","0.4681","last known convergence"
"8004_rsajoystick","265.4797","45","0","0.0926","0.0162","0.9823","0.9741","converged normally"
"8005_rsajoystick","259.3344","45","0","0.0914","0.061","0.9824","0.9742","converged normally"
"8006_rsajoystick","468.1431","45","0","0.1284","0.0377","0.9717","0.9586","converged normally"
"8007_rsajoystick","17665.4652","44","0","0.839","15772.5839","0","-0.8881","last known convergence"
"8008_rsajoystick","2945.6782","46","0","0.3343","0.2354","0.8082","0.7248","last known convergence"
"8010_rsajoystick","445.7156","45","0","0.1225","0.0265","0.9723","0.9594","converged normally"
"8011_rsajoystick","10412.4636","45","0","0.6233","1685.9523","0.3126","-0.0082","last known convergence"
"8013_rsajoystick","331.2801","45","0","0.1056","0.0578","0.9769","0.9661","converged normally"
"8014_rsajoystick","586.9557","45","0","0.1425","0.1464","0.9638","0.9469","last known convergence"
"8015_rsajoystick","12091.2037","43","0","0.6956","12456.4836","0.2763","-0.1107","last known convergence"
"8016_rsajoystick","3108.4862","46","0","0.343","0.2258","0.7752","0.6775","last known convergence"
"8017_rsajoystick","4620.6527","46","0","0.4203","0.2063","0.6355","0.477","last known convergence"
"8019_rsajoystick","8994.64","44","0","0.5857","5166.0547","0.362","0.043","last known convergence"
"8020_rsajoystick","169.5935","45","0","0.0698","0.0198","0.9908","0.9864","converged normally"
"8021_rsajoystick","328.7239","44","0","0.106","0.0124","0.9751","0.9626","converged normally"
"8022_rsajoystick","2885.1264","45","0","0.333","0.4165","0.7806","0.6782","last known convergence"
"8023_rsajoystick","320.5925","45","0","0.1033","0.0713","0.981","0.9721","converged normally"
"8024_rsajoystick","327.5839","45","0","0.1054","0.0622","0.9791","0.9694","converged normally"
"8026_rsajoystick","14422.5944","44","0","0.7572","151347.4541","0","-0.6366","last known convergence"
"8027_rsajoystick","4997.4009","44","0","0.4464","0.172","0.655","0.4825","last known convergence"
